user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
1,2023-04-15,Premium,699,1.1,4.0,1.0,8,14.0,Yes
2,2023-08-27,Premium,699,2.6,6.0,0.0,35,,Yes
3,2023-10-12,Premium,699,14.3,8.0,3.0,2,14.0,Yes
4,2023-12-11,Basic,199,17.6,5.0,2.0,11,9.0,Yes
5,2023-02-14,,199,9.8,5.0,2.0,6,,Yes
6,2024-10-05,Premium,699,13.6,6.0,0.0,30,35.0,Yes
7,2023-10-24,Premium,699,14.6,1.0,0.0,24,42.0,Yes
8,2024-01-09,Basic,199,21.7,6.0,2.0,15,29.0,Yes
9,2023-03-15,Basic,199,9.2,,5.0,24,59.0,Yes
10,2024-10-17,Premium,699,13.6,3.0,1.0,11,29.0,No
11,2023-11-20,Premium,699,5.9,5.0,0.0,36,14.0,No
12,2024-10-20,Standard,399,2.1,,1.0,18,41.0,Yes
13,2024-08-21,Standard,399,7.0,3.0,5.0,10,35.0,Yes
14,2023-02-18,Standard,399,9.4,2.0,4.0,26,31.0,Yes
15,2024-09-02,Basic,199,15.9,6.0,,10,4.0,Yes
16,2024-11-29,Standard,399,6.7,,0.0,34,,No
17,2024-04-09,Premium,699,19.3,5.0,0.0,18,18.0,No
18,2024-10-02,,199,24.3,2.0,4.0,17,58.0,Yes
19,2024-06-27,Standard,399,15.4,2.0,2.0,33,48.0,Yes
20,2023-11-11,,199,12.5,1.0,2.0,21,56.0,No
21,2023-03-12,Basic,199,6.4,1.0,0.0,4,46.0,No
22,2024-09-13,Premium,699,3.6,7.0,4.0,9,10.0,Yes
23,2024-11-18,,399,23.3,3.0,,14,19.0,No
24,2023-03-07,Premium,699,11.2,,,24,7.0,Yes
25,2024-12-25,Standard,399,14.9,3.0,4.0,2,14.0,Yes
26,2023-10-13,Premium,699,6.1,0.0,2.0,4,4.0,No
27,2024-08-13,Premium,699,5.7,2.0,5.0,32,59.0,No
28,2024-03-17,Standard,399,19.7,6.0,1.0,16,6.0,Yes
29,2023-04-11,Standard,399,10.6,0.0,5.0,28,41.0,No
30,2024-04-04,Basic,199,,1.0,1.0,26,12.0,No
31,2024-03-29,Basic,199,,7.0,1.0,28,55.0,No
32,2023-08-31,Premium,1000,1.7,8.0,0.0,7,5.0,No
33,2024-01-24,,199,,3.0,,27,57.0,Yes
34,2024-07-23,Basic,199,7.0,,2.0,25,,Yes
35,2024-07-09,Premium,699,4.3,,1.0,32,3.0,No
36,2023-06-11,Basic,199,1.9,7.0,4.0,21,58.0,Yes
37,2023-08-29,Basic,199,2.5,2.0,0.0,33,38.0,Yes
38,2023-03-25,Standard,399,23.6,3.0,,8,38.0,Yes
39,2023-09-02,Standard,399,8.3,4.0,1.0,34,42.0,No
40,2023-03-16,Standard,399,3.7,4.0,3.0,26,20.0,No
41,2023-09-29,Basic,199,15.7,1.0,0.0,30,34.0,Yes
42,2024-07-10,Basic,199,22.1,3.0,2.0,23,18.0,Yes
43,2023-11-03,Premium,699,15.5,8.0,0.0,20,42.0,No
44,2024-07-20,Premium,699,23.5,2.0,2.0,7,7.0,No
45,2024-10-11,Basic,199,,3.0,5.0,18,,Yes
46,2023-10-11,Standard,399,,0.0,0.0,33,40.0,No
47,2024-03-28,Basic,199,8.7,,5.0,1,16.0,Yes
48,2023-06-02,Premium,699,14.2,1.0,,28,60.0,No
49,2023-11-12,Premium,699,20.9,8.0,1.0,3,27.0,Yes
50,2023-12-29,Standard,399,22.5,3.0,5.0,3,,No
51,2023-07-01,Premium,699,24.4,,1.0,27,55.0,Yes
52,2023-09-12,Standard,399,4.9,5.0,3.0,2,51.0,Yes
53,2024-04-26,Standard,399,19.8,1.0,3.0,11,55.0,Yes
54,2023-08-22,,199,20.5,7.0,,13,,No
55,2023-10-13,Basic,199,16.7,,2.0,2,17.0,No
56,2023-09-25,Standard,399,10.3,8.0,2.0,33,60.0,Yes
57,2024-03-22,Basic,199,,6.0,2.0,17,46.0,Yes
58,2023-01-02,,699,3.3,3.0,2.0,33,,No
59,2024-11-11,Premium,699,17.3,3.0,2.0,35,27.0,Yes
60,2023-11-13,Standard,399,16.8,1.0,,21,57.0,Yes
61,2024-11-11,Premium,699,8.5,4.0,4.0,27,8.0,Yes
62,2023-11-08,Standard,399,15.6,4.0,3.0,12,35.0,No
63,2023-08-07,Standard,399,11.0,5.0,,14,28.0,Yes
64,2024-11-10,Premium,699,,2.0,5.0,31,5.0,Yes
65,2023-07-23,Premium,699,2.8,3.0,5.0,22,19.0,Yes
66,2024-04-11,Basic,199,1.6,,4.0,2,,Yes
67,2024-11-02,Standard,399,18.1,,3.0,13,25.0,Yes
68,2024-12-13,Premium,699,,1.0,3.0,1,,Yes
69,2024-04-20,Premium,699,1.7,3.0,0.0,30,29.0,Yes
70,2024-05-31,Premium,699,24.7,5.0,3.0,34,39.0,No
71,2023-09-23,Standard,399,,2.0,5.0,36,,Yes
72,2024-03-26,Basic,199,19.3,8.0,3.0,18,40.0,Yes
73,2023-05-22,Basic,199,140,5.0,2.0,19,57.0,Yes
74,2024-02-22,Basic,199,,2.0,5.0,15,13.0,Yes
75,2024-08-21,Standard,399,11.9,0.0,1.0,35,53.0,No
76,2023-11-02,Premium,699,21.5,6.0,3.0,2,0.0,No
77,2023-08-13,Standard,399,13.7,8.0,,27,57.0,Yes
78,2024-02-19,Standard,399,12.4,6.0,2.0,28,,Yes
79,2024-02-08,Premium,699,21.1,,4.0,11,34.0,Yes
80,2023-02-21,Premium,699,2.6,,1.0,2,55.0,Yes
81,2024-01-24,Standard,399,,,,25,21.0,No
82,2023-02-23,Standard,399,6.7,1.0,3.0,27,1.0,No
83,2023-01-21,Standard,399,16.4,0.0,0.0,15,60.0,Yes
84,2023-08-12,Premium,699,6.3,7.0,5.0,10,7.0,No
85,2023-04-28,,399,19.3,,4.0,17,38.0,No
86,2024-01-20,Basic,199,3.1,0.0,2.0,20,36.0,Yes
87,2024-12-01,Standard,399,2.4,3.0,0.0,13,44.0,No
88,2024-01-15,Premium,699,20.0,0.0,2.0,8,34.0,Yes
89,2024-03-19,,199,16.4,0.0,3.0,33,52.0,Yes
